animal,clc_level1_1990,clc_level1_2018,point_count,share_percent
Pigs,Superfici agricole,Superfici agricole,764,84.61
Pigs,Superfici artificiali,Superfici artificiali,91,10.08
Pigs,Superfici agricole,Superfici artificiali,28,3.10
Pigs,Territori boscati e ambienti seminaturali,Territori boscati e ambienti seminaturali,11,1.22
Pigs,Superfici artificiali,Superfici agricole,7,0.78
Pigs,Corpi idrici,Corpi idrici,1,0.11
Pigs,Territori boscati e ambienti seminaturali,Superfici agricole,1,0.11
Poultry,Superfici agricole,Superfici agricole,1041,83.82
Poultry,Superfici artificiali,Superfici artificiali,116,9.34
Poultry,Superfici agricole,Superfici artificiali,48,3.86
Poultry,Territori boscati e ambienti seminaturali,Territori boscati e ambienti seminaturali,23,1.85
Poultry,Superfici artificiali,Superfici agricole,8,0.64
Poultry,Territori boscati e ambienti seminaturali,Superfici agricole,4,0.32
Poultry,Corpi idrici,Superfici agricole,1,0.08
Poultry,Superfici agricole,Territori boscati e ambienti seminaturali,1,0.08
